Sr No,date,startup,vertical,city,investors,round,amount
1,2020-09-01,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,200000000
2,2020-01-13,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394
3,2020-09-01,Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,18358860
4,2020-02-01,https://www.wealthbucket.in/,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000
5,2020-02-01,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000
6,2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000
7,2020-10-01,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000
8,2019-12-12,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000
9,2019-06-12,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000
10,2019-03-12,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000
11,2019-12-13,Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000
12,2019-12-17,Healthians,B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000
13,2019-12-16,Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,30000000
15,2019-12-14,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,2000000
16,2019-11-12,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000
17,2019-12-20,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,231000000
18,2019-11-13,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000
19,2019-11-14,Misters,Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000
22,2019-11-18,Healthians,Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000
23,2019-11-15,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000
24,2019-11-20,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265
25,2019-12-11,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000
26,2019-11-20,Clumio,SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000
27,2019-11-11,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000
28,2019-11-19,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,220000000
29,2019-11-18,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000
32,2019-11-25,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000
33,2019-04-10,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,45000000
34,2019-02-10,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000
36,2019-05-09,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000
37,2019-04-09,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000
38,2019-04-09,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000
39,2019-04-09,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000
40,2019-04-09,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,18000000
41,2019-04-09,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,1000000
42,2019-04-09,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000
43,2019-04-09,GOQii,Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000
44,2019-03-09,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000
45,2019-01-08,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000
46,2019-01-08,Progcap,Finance,New Delhi,Sequoia India,Series A,5000000
48,2019-01-08,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000
